Symbol,Company,MarketCap,TrailingPE,ForwardPE,EPS,DebtToEquity,,,,,,,,,,,
IVZ,Invesco Ltd.,10.40B,15.89796,12.36508,1.47,10.983,,,,,,,,,,,
J,Jacobs Solutions Inc.,18.33B,39.323074,23.061653,3.9,63.387,,,,,,,,,,,
JBHT,"J.B. Hunt Transport Services, Inc.",16.28B,29.577854,23.810587,5.78,53.131,,,,,,,,,,,
JBL,Jabil Inc.,22.83B,36.099663,21.349651,5.92,246.012,,,,,,,,,,,
JCI,Johnson Controls International plc,80.00B,46.482887,29.17661,2.63,76.27,,,,,,,,,,,
JKHY,"Jack Henry & Associates, Inc.",11.68B,24.43769,25.443037,6.58,2.402,,,,,,,,,,,
JNJ,Johnson & Johnson,449.50B,18.026087,17.600943,10.35,57.766,,,,,,,,,,,
JPM,JPMorgan Chase & Co.,855.36B,15.55495,18.770012,20.2,,,,,,,,,,,,
K,Kellanova,29.00B,22.77049,69.45,3.66,145.099,,,,,,,,,,,
KDP,Keurig Dr Pepper Inc.,35.27B,22.37931,12.663415,1.16,73.567,,,,,,,,,,,
KEY,KeyCorp,19.76B,22.320988,11.589744,0.81,,,,,,,,,,,,
KEYS,"Keysight Technologies, Inc.",31.08B,57.419044,25.949785,3.15,48.748,,,,,,,,,,,
KHC,The Kraft Heinz Company,28.74B,,7.9087954,-3.71,50.968,,,,,,,,,,,
KIM,Kimco Realty Corporation,13.91B,24.74699,29.34286,0.83,78.195,,,,,,,,,,,
KKR,KKR & Co. Inc.,112.29B,57.226418,19.98682,2.12,76.715,,,,,,,,,,,
KLAC,KLA Corporation,156.80B,37.456684,36.36106,31.86,122.127,,,,,,,,,,,
KMB,Kimberly-Clark Corporation,34.46B,17.571913,13.610746,5.91,500.068,,,,,,,,,,,
KMI,"Kinder Morgan, Inc.",59.07B,21.762295,21.071428,1.22,102.138,,,,,,,,,,,
KO,The Coca-Cola Company,303.48B,23.360928,23.75421,3.02,144.771,,,,,,,,,,,
KR,The Kroger Co.,43.01B,16.47462,14.17249,3.94,271.402,,,,,,,,,,,
KVUE,Kenvue Inc.,32.34B,22.506666,13.836064,0.75,85.659,,,,,,,,,,,
L,Loews Corporation,21.20B,14.868115,35.37586,6.9,49.123,,,,,,,,,,,
LDOS,"Leidos Holdings, Inc.",25.18B,18.375,18.84976,10.72,105.551,,,,,,,,,,,
LEN,Lennar Corporation,30.78B,12.022751,7.5309796,10.11,24.892,,,,,,,,,,,
LH,Labcorp Holdings Inc.,20.95B,24.825148,15.775281,10.18,75.557,,,,,,,,,,,
LHX,"L3Harris Technologies, Inc.",54.37B,31.253763,20.19875,9.3,60.629,,,,,,,,,,,
LII,Lennox International Inc.,17.26B,20.786318,21.071062,23.68,128.035,,,,,,,,,,,
LIN,Linde plc,196.36B,28.16544,24.80885,14.93,64.673,,,,,,,,,,,
LKQ,LKQ Corporation,7.77B,11.248148,8.3895035,2.7,83.675,,,,,,,,,,,
LLY,Eli Lilly and Company,827.33B,45.245716,40.793026,20.43,178.516,,,,,,,,,,,
LMT,Lockheed Martin Corporation,106.06B,25.506401,16.305586,17.97,358.987,,,,,,,,,,,
LNT,Alliant Energy Corporation,17.31B,20.783949,20.848295,3.24,163.145,,,,,,,,,,,
LOW,"Lowe's Companies, Inc.",130.76B,19.127155,18.460808,12.19,,,,,,,,,,,,
LRCX,Lam Research Corporation,200.15B,35.1766,37.318504,4.53,43.991,,,,,,,,,,,
LULU,lululemon athletica inc.,19.70B,11.339932,11.12726,14.65,40.178,,,,,,,,,,,
LUV,Southwest Airlines Co.,16.78B,51.50794,20.408806,0.63,67.618,,,,,,,,,,,
LVS,Las Vegas Sands Corp.,44.09B,29.373873,23.712727,2.22,847.509,,,,,,,,,,,
LW,"Lamb Weston Holdings, Inc.",8.70B,30.009615,12.534136,2.08,223.019,,,,,,,,,,,
LYB,LyondellBasell Industries N.V.,13.85B,,4.9965158,-4.03,124.319,,,,,,,,,,,
LYV,"Live Nation Entertainment, Inc.",32.63B,101.81884,58.06198,1.38,473.811,,,,,,,,,,,
MA,Mastercard Incorporated,495.67B,35.337387,33.697803,15.62,239.715,,,,,,,,,,,
MAA,"Mid-America Apartment Communities, Inc.",15.56B,27.46822,31.240961,4.72,87.122,,,,,,,,,,,
MAR,"Marriott International, Inc.",78.13B,30.680717,27.467924,9.49,,,,,,,,,,,,
MAS,Masco Corporation,12.88B,15.85422,14.024887,3.91,1888.69,,,,,,,,,,,
MCD,McDonald's Corporation,213.40B,25.568258,23.763681,11.72,,,,,,,,,,,,
MCHP,Microchip Technology Incorporated,30.42B,,21.646154,-0.46,80.841,,,,,,,,,,,
MCK,McKesson Corporation,105.16B,26.666353,23.14561,31.95,,,,,,,,,,,,
MCO,Moody's Corporation,87.06B,39.226692,36.635136,12.44,181.347,,,,,,,,,,,
MDLZ,"Mondelez International, Inc.",73.78B,21.41573,16.670553,2.67,83.621,,,,,,,,,,,
MDT,Medtronic plc,118.26B,25.469614,15.760683,3.62,59.437,,,,,,,,,,,
MET,"MetLife, Inc.",50.31B,14.1280155,7.858618,5.39,128.015,,,,,,,,,,,
META,"Meta Platforms, Inc.",1.57T,27.472826,24.573519,22.63,26.311,,,,,,,,,,,
MGM,MGM Resorts International,8.93B,163.3,14.2,0.2,913.283,,,,,,,,,,,
MHK,"Mohawk Industries, Inc.",6.72B,16.174109,9.747983,6.72,28.031,,,,,,,,,,,
MKC,"McCormick & Company, Incorporated",17.45B,22.583332,20.846155,2.88,75.356,,,,,,,,,,,
MLM,"Martin Marietta Materials, Inc.",36.83B,31.347025,29.301344,19.48,60.618,,,,,,,,,,,
MMC,"Marsh & McLennan Companies, Inc.",88.21B,21.58873,19.093319,8.34,139.501,,,,,,,,,,,
MMM,3M Company,87.57B,26.332268,20.865822,6.26,281.904,,,,,,,,,,,
MNST,Monster Beverage Corporation,68.13B,39.61932,37.288773,1.76,,,,,,,,,,,,
MO,"Altria Group, Inc.",97.41B,11.074428,10.846729,5.24,,,,,,,,,,,,
MOH,"Molina Healthcare, Inc.",7.82B,9.3633,5.91443,16.24,91.911,,,,,,,,,,,
MOS,The Mosaic Company,8.12B,6.626943,10.398374,3.86,37.134,,,,,,,,,,,
MPC,Marathon Petroleum Corporation,58.24B,20.612766,18.996078,9.4,143.175,,,,,,,,,,,
MPWR,"Monolithic Power Systems, Inc.",45.91B,24.57077,55.77765,39,0.528,,,,,,,,,,,
MRK,"Merck & Co., Inc.",214.15B,11.412699,9.178723,7.56,79.708,,,,,,,,,,,
MRNA,"Moderna, Inc.",9.59B,,-2.82069,-8.06,7.353,,,,,,,,,,,
MS,Morgan Stanley,258.04B,16.635246,20.47415,9.76,420.553,,,,,,,,,,,
MSCI,MSCI Inc.,43.80B,36.88924,34.204807,15.8,,,,,,,,,,,,
MSFT,Microsoft Corporation,3.69T,35.335705,33.23211,14.06,33.154,,,,,,,,,,,
MSI,"Motorola Solutions, Inc.",65.08B,31.360353,26.599728,12.46,423.891,,,,,,,,,,,
MTB,M&T Bank Corporation,28.56B,11.465762,11.416462,16.21,,,,,,,,,,,,
MTCH,"Match Group, Inc.",7.76B,15.359812,13.254032,2.14,,,,,,,,,,,,
MTD,Mettler-Toledo International Inc.,29.65B,35.97476,33.78756,40.01,,,,,,,,,,,,
MU,"Micron Technology, Inc.",267.06B,31.346508,18.486403,7.59,28.343,,,,,,,,,,,
NCLH,Norwegian Cruise Line Holdings Ltd.,8.68B,13.719424,9.124402,1.39,699.717,,,,,,,,,,,
NDAQ,"Nasdaq, Inc.",49.81B,31.157143,27.783438,2.8,79.867,,,,,,,,,,,
NDSN,Nordson Corporation,13.07B,29.25912,22.344862,7.95,74.482,,,,,,,,,,,
NEE,"NextEra Energy, Inc.",174.79B,26.644444,22.807064,3.15,144.161,,,,,,,,,,,
NEM,Newmont Corporation,91.00B,12.968896,21.772846,6.43,16.914,,,,,,,,,,,
NFLX,"Netflix, Inc.",467.66B,46.081837,46.41127,23.95,65.822,,,,,,,,,,,
NI,NiSource Inc.,20.61B,22.921053,23.413979,1.9,140.579,,,,,,,,,,,
NKE,"NIKE, Inc.",90.30B,31.328205,18.913313,1.95,82.128,,,,,,,,,,,
NOC,Northrop Grumman Corporation,81.15B,20.49045,20.264076,27.75,109.401,,,,,,,,,,,
NOW,"ServiceNow, Inc.",179.40B,104.21644,51.60898,8.27,21.255,,,,,,,,,,,
NRG,"NRG Energy, Inc.",33.06B,25.784754,25,6.69,615.076,,,,,,,,,,,
NSC,Norfolk Southern Corporation,63.78B,21.698473,20.931517,13.1,116.353,,,,,,,,,,,
NTAP,"NetApp, Inc.",22.55B,19.99469,14.903694,5.65,281.538,,,,,,,,,,,
NTRS,Northern Trust Corporation,24.58B,15.146854,17.010473,8.58,,,,,,,,,,,,
NUE,Nucor Corporation,33.12B,20.296764,15.417735,7.11,31.248,,,,,,,,,,,
NVDA,NVIDIA Corporation,4.58T,53.451702,45.667477,3.52,10.584,,,,,,,,,,,
NVR,"NVR, Inc.",19.82B,15.94906,13.997183,454.65,25.972,,,,,,,,,,,
NWS,News Corporation,15.63B,36.493977,27.1591,0.83,30.677,,,,,,,,,,,
NWSA,News Corporation,15.62B,32.192772,25.207548,0.83,30.677,,,,,,,,,,,
NXPI,NXP Semiconductors N.V.,51.48B,25.316832,15.65111,8.08,117.34,,,,,,,,,,,
O,Realty Income Corporation,52.32B,53.14953,35.767296,1.07,73.977,,,,,,,,,,,
ODFL,"Old Dominion Freight Line, Inc.",29.25B,28.148893,23.711863,4.97,1.994,,,,,,,,,,,
OKE,"ONEOK, Inc.",42.86B,12.522059,11.410386,5.44,152.218,,,,,,,,,,,
OMC,Omnicom Group Inc.,14.33B,10.955751,8.597221,6.78,128.056,,,,,,,,,,,
ON,ON Semiconductor Corporation,19.56B,65.520546,11.071759,0.73,45.833,,,,,,,,,,,
ORCL,Oracle Corporation,682.08B,55.25635,33.416203,4.33,452.534,,,,,,,,,,,
ORLY,"O'Reilly Automotive, Inc.",82.14B,33.711803,2.1604362,2.88,,,,,,,,,,,,
OTIS,Otis Worldwide Corporation,35.47B,26.849556,21.723148,3.39,,,,,,,,,,,,
OXY,Occidental Petroleum Corporation,40.67B,24.3,13.072784,1.7,66.823,,,,,,,,,,,
PANW,"Palo Alto Networks, Inc.",143.69B,133.51257,29.48403,1.59,5.335,,,,,,,,,,,
PAYC,"Paycom Software, Inc.",8.90B,20.16791,18.595182,8.04,4.943,,,,,,,,,,,
PAYX,"Paychex, Inc.",40.29B,25.103138,21.164461,4.46,126.47,,,,,,,,,,,
PCAR,PACCAR Inc,51.83B,19.35098,12.717783,5.1,82.453,,,,,,,,,,,
PCG,PG&E Corporation,36.29B,13.873949,11.155405,1.19,185.52,,,,,,,,,,,
PEG,Public Service Enterprise Group Incorporated,41.58B,20.026442,20.469286,4.16,138.209,,,,,,,,,,,
PEP,"PepsiCo, Inc.",195.46B,27.176804,16.56431,5.26,260.19,,,,,,,,,,,
PFE,Pfizer Inc.,138.90B,14.203488,8.337884,1.72,66.531,,,,,,,,,,,
PFG,"Principal Financial Group, Inc.",18.20B,12.14956,9.817536,6.82,34.137,,,,,,,,,,,
PG,The Procter & Gamble Company,343.45B,21.456934,19.808624,6.85,67.125,,,,,,,,,,,
PGR,The Progressive Corporation,127.41B,11.918267,15.744203,18.23,19.455,,,,,,,,,,,
PH,Parker-Hannifin Corporation,106.80B,30.025257,28.668818,28.11,74.953,,,,,,,,,,,
PHM,"PulteGroup, Inc.",23.34B,9.240741,8.871111,12.96,16.939,,,,,,,,,,,
PKG,Packaging Corporation of America,18.04B,20.237135,17.842527,9.91,91.618,,,,,,,,,,,
PLD,"Prologis, Inc.",116.67B,36.511627,35.681816,3.44,62.789,,,,,,,,,,,
PLTR,Palantir Technologies Inc.,424.08B,413.79068,378.57446,0.43,3.52,,,,,,,,,,,
PM,Philip Morris International Inc.,238.77B,21.881598,21.304167,7.01,,,,,,,,,,,,
PNC,"The PNC Financial Services Group, Inc.",72.24B,11.906917,12.271818,15.47,,,,,,,,,,,,
PNR,Pentair plc,17.57B,27.318066,22.136084,3.93,44.76,,,,,,,,,,,
PNW,Pinnacle West Capital Corporation,10.53B,18.138145,18.79701,4.85,197.565,,,,,,,,,,,
PODD,Insulet Corporation,22.50B,93.51462,82.64083,3.42,77.711,,,,,,,,,,,
POOL,Pool Corporation,9.39B,22.993612,20.948462,10.96,100.725,,,,,,,,,,,
PPG,"PPG Industries, Inc.",21.60B,17.218246,10.875706,5.59,102.552,,,,,,,,,,,
PPL,PPL Corporation,27.06B,24.884354,19.98907,1.47,132.089,,,,,,,,,,,
PRU,"Prudential Financial, Inc.",37.19B,14.560274,7.2355347,7.3,148.723,,,,,,,,,,,
PSA,Public Storage,48.79B,28.903326,26.1571,9.62,106.758,,,,,,,,,,,
PSKY,Paramount Skydance Corporation,16.55B,503.33334,12.074591,0.03,90.626,,,,,,,,,,,
PSX,Phillips 66,55.58B,37.18329,14.536354,3.71,77.483,,,,,,,,,,,
PTC,PTC Inc.,21.10B,28.635773,25.158571,6.15,35.736,,,,,,,,,,,
PWR,"Quanta Services, Inc.",66.36B,65.82988,43.800198,6.76,71.612,,,,,,,,,,,
PYPL,"PayPal Holdings, Inc.",61.96B,13.297189,13.541923,4.98,60.239,,,,,,,,,,,
Q,"Qnity Electronics, Inc.",19.33B,46.386932,17.38418,1.99,1.17,,,,,,,,,,,
QCOM,QUALCOMM Incorporated,183.02B,34.10978,13.973018,5.01,73.767,,,,,,,,,,,
RCL,Royal Caribbean Cruises Ltd.,69.82B,17.23973,17.915327,14.85,203.878,,,,,,,,,,,
REG,Regency Centers Corporation,13.03B,32.004585,33.22381,2.18,73.101,,,,,,,,,,,
REGN,"Regeneron Pharmaceuticals, Inc.",69.11B,15.771889,14.511807,41.69,8.739,,,,,,,,,,,
RF,Regions Financial Corporation,21.79B,10.947137,10.995576,2.27,,,,,,,,,,,,
RJF,"Raymond James Financial, Inc.",32.31B,15.851312,14.64183,10.29,36.906,,,,,,,,,,,
RL,Ralph Lauren Corporation,19.69B,23.97932,24.93702,13.54,111.231,,,,,,,,,,,
RMD,ResMed Inc.,36.71B,25.767418,24.440233,9.76,13.826,,,,,,,,,,,
ROK,"Rockwell Automation, Inc.",41.99B,43.83685,32.76228,8.52,95.742,,,,,,,,,,,
ROL,"Rollins, Inc.",28.40B,54.7757,52.330357,1.07,59.534,,,,,,,,,,,
ROP,"Roper Technologies, Inc.",48.12B,30.767378,22.330168,14.53,47.288,,,,,,,,,,,
ROST,"Ross Stores, Inc.",52.39B,25.568253,24.077728,6.3,88.407,,,,,,,,,,,
RSG,"Republic Services, Inc.",63.64B,30.59375,30.189426,6.72,113.763,,,,,,,,,,,
RTX,RTX Corporation,237.28B,36.33881,28.963993,4.87,61.315,,,,,,,,,,,
RVTY,"Revvity, Inc.",10.29B,46.79381,17.593023,1.94,45.676,,,,,,,,,,,
SBAC,SBA Communications Corporation,21.04B,24.798994,21.526716,7.96,,,,,,,,,,,,
SBUX,Starbucks Corporation,97.28B,52.496933,23.002687,1.63,,,,,,,,,,,,
SCHW,The Charles Schwab Corporation,172.88B,22.30445,25.063158,4.27,111.866,,,,,,,,,,,
SHW,The Sherwin-Williams Company,84.32B,33.21875,26.616589,10.24,325.153,,,,,,,,,,,
SJM,The J. M. Smucker Company,11.42B,,10.167142,-13.73,137.159,,,,,,,,,,,
SLB,SLB N.V.,54.77B,14.264592,9.9891,2.57,47.459,,,,,,,,,,,
SMCI,"Super Micro Computer, Inc.",23.63B,31.307085,9.377358,1.27,79.484,,,,,,,,,,,
SNA,Snap-on Incorporated,17.88B,18.01415,17.083,19.08,22.27,,,,,,,,,,,
SNPS,"Synopsys, Inc.",73.08B,53.166214,26.45797,7.4,54.828,,,,,,,,,,,
SO,The Southern Company,100.69B,22.74627,21.166666,4.02,192.679,,,,,,,,,,,
SOLS,"Solstice Advanced Materials, Inc.",7.54B,28.78182,,1.65,13.581,,,,,,,,,,,
SOLV,Solventum Corporation,12.40B,8.211251,12.933091,8.71,103.028,,,,,,,,,,,
SPG,"Simon Property Group, Inc.",69.25B,26.724892,27.079645,6.87,884.863,,,,,,,,,,,
SPGI,S&P Global Inc.,150.32B,36.103275,29.531233,13.75,31.784,,,,,,,,,,,
SRE,Sempra,61.17B,28.836924,18.233463,3.25,81.287,,,,,,,,,,,
STE,STERIS plc,25.89B,37.735336,26.456367,6.99,29.314,,,,,,,,,,,
STLD,"Steel Dynamics, Inc.",22.19B,20.124502,15.133467,7.55,42.166,,,,,,,,,,,
STT,State Street Corporation,33.05B,12.559447,12.667023,9.42,,,,,,,,,,,,
STX,Seagate Technology Holdings plc,59.66B,35.860077,28.798971,7.79,,,,,,,,,,,,
STZ,"Constellation Brands, Inc.",22.35B,18.580786,8.414634,6.87,135.429,,,,,,,,,,,
SW,Smurfit Westrock Plc,18.70B,24.527397,9.919668,1.46,76.445,,,,,,,,,,,
SWK,"Stanley Black & Decker, Inc.",10.57B,23.541378,12.435337,2.9,78.538,,,,,,,,,,,
SWKS,"Skyworks Solutions, Inc.",10.35B,22.59091,10.871875,3.08,17.297,,,,,,,,,,,
SYF,Synchrony Financial,26.36B,8.02522,11.312211,9.12,,,,,,,,,,,,
SYK,Stryker Corporation,136.15B,46.7231,26.314117,7.62,78.646,,,,,,,,,,,
SYY,Sysco Corporation,36.00B,20.155497,15.280488,3.73,690.715,,,,,,,,,,,
T,AT&T Inc.,176.03B,8.087948,11.084822,3.07,124.412,,,,,,,,,,,
TAP,Molson Coors Beverage Company,9.15B,,7.8128166,-10.48,61.017,,,,,,,,,,,
TDG,TransDigm Group Incorporated,72.40B,42.739853,29.548298,30.06,,,,,,,,,,,,
TDY,Teledyne Technologies Incorporated,24.09B,29.766241,23.91286,17.24,23.989,,,,,,,,,,,
TECH,Bio-Techne Corporation,8.95B,117.16326,26.214611,0.49,20.067,,,,,,,,,,,
TEL,TE Connectivity plc,71.41B,39.353897,26.965517,6.16,44.729,,,,,,,,,,,
TER,"Teradyne, Inc.",28.55B,66.28364,42.889412,2.75,9.89,,,,,,,,,,,
TFC,Truist Financial Corporation,57.23B,11.994638,11.326583,3.73,,,,,,,,,,,,
TGT,Target Corporation,41.46B,10.634032,8.681255,8.58,132.309,,,,,,,,,,,
TJX,"The TJX Companies, Inc.",160.94B,32.86591,31.436956,4.4,147.992,,,,,,,,,,,
TKO,"TKO Group Holdings, Inc.",14.41B,69.414444,56.345676,2.63,42.785,,,,,,,,,,,
TMO,Thermo Fisher Scientific Inc.,215.06B,33.106415,24.36824,17.29,69.75,,,,,,,,,,,
TMUS,"T-Mobile US, Inc.",231.53B,19.961428,19.400187,10.37,200.622,,,,,,,,,,,
TPL,Texas Pacific Land Corporation,22.56B,47.40174,13.425738,20.71,1.292,,,,,,,,,,,
TPR,"Tapestry, Inc.",21.22B,79.14504,21.781511,1.31,1051.139,,,,,,,,,,,
TRGP,Targa Resources Corp.,36.93B,23.188679,20.830507,7.42,615.121,,,,,,,,,,,
TRMB,Trimble Inc.,18.77B,54.041096,26.476511,1.46,24.038,,,,,,,,,,,
TROW,"T. Rowe Price Group, Inc.",22.40B,11.195202,10.979679,9.17,4.09,,,,,,,,,,,
TRV,"The Travelers Companies, Inc.",62.42B,11.0118065,13.167529,25.41,29.318,,,,,,,,,,,
TSCO,Tractor Supply Company,28.68B,26.217392,4.876011,2.07,222.382,,,,,,,,,,,
TSLA,"Tesla, Inc.",1.43T,294.19177,132.5679,1.46,17.082,,,,,,,,,,,
TSN,"Tyson Foods, Inc.",18.74B,23.945454,15.051429,2.2,49.085,,,,,,,,,,,
TT,Trane Technologies plc,96.35B,33.218655,34.347828,13.08,55.305,,,,,,,,,,,
TTD,"The Trade Desk, Inc.",20.79B,48.863636,22.279793,0.88,12.744,,,,,,,,,,,
TTWO,"Take-Two Interactive Software, Inc.",42.87B,,29.591837,-22.76,102.325,,,,,,,,,,,
TXN,Texas Instruments Incorporated,145.88B,29.244081,27.304422,5.49,84.477,,,,,,,,,,,
TXT,Textron Inc.,14.46B,17.94967,12.243283,4.57,55.332,,,,,,,,,,,
TYL,"Tyler Technologies, Inc.",19.94B,64.54457,42.79132,7.18,17.86,,,,,,,,,,,
UAL,"United Airlines Holdings, Inc.",31.54B,9.762526,8.058726,9.98,218.897,,,,,,,,,,,
UBER,"Uber Technologies, Inc.",191.14B,11.839125,38.978813,7.77,45.755,,,,,,,,,,,
UDR,"UDR, Inc.",12.98B,78.34091,73.34043,0.44,144.858,,,,,,,,,,,
UHS,"Universal Health Services, Inc.",14.59B,10.905328,12.622797,21.02,70.037,,,,,,,,,,,
ULTA,"Ulta Beauty, Inc.",23.22B,19.884407,22.640575,26.04,87.863,,,,,,,,,,,
UNH,UnitedHealth Group Incorporated,293.68B,16.894735,10.843143,19.19,75.734,,,,,,,,,,,
UNP,Union Pacific Corporation,131.37B,18.80136,18.289017,11.78,189.829,,,,,,,,,,,
UPS,"United Parcel Service, Inc.",81.40B,14.829985,10.891032,6.47,184.32,,,,,,,,,,,
URI,"United Rentals, Inc.",53.97B,21.833977,18.101793,38.85,169.022,,,,,,,,,,,
USB,U.S. Bancorp,73.56B,10.828376,10.928407,4.37,,,,,,,,,,,,
V,Visa Inc.,648.48B,32.878666,26.541864,10.22,68.939,,,,,,,,,,,
VICI,VICI Properties Inc.,32.43B,11.536121,11.113553,2.63,62.925,,,,,,,,,,,
VLO,Valero Energy Corporation,53.57B,36.511433,18.198963,4.81,39.561,,,,,,,,,,,
VLTO,Veralto Corporation,24.48B,27.016438,26.296,3.65,100.772,,,,,,,,,,,
VMC,Vulcan Materials Company,37.96B,33.87972,31.640968,8.48,56.296,,,,,,,,,,,
VRSK,"Verisk Analytics, Inc.",29.92B,33.024616,29.445816,6.5,1295.046,,,,,,,,,,,
VRSN,"VeriSign, Inc.",22.43B,28.1688,27.973412,8.59,,,,,,,,,,,,
VRTX,Vertex Pharmaceuticals Incorporated,103.89B,28.815622,21.81513,14.21,10.594,,,,,,,,,,,
VST,Vistra Corp.,64.72B,67.971535,27.68116,2.81,373.842,,,,,,,,,,,
VTR,"Ventas, Inc.",35.73B,143.5283,475.4375,0.53,100.11,,,,,,,,,,,
VTRS,Viatris Inc.,11.66B,,3.790262,-3.13,97.03,,,,,,,,,,,
VZ,Verizon Communications Inc.,168.78B,8.535181,8.463002,4.69,164.799,,,,,,,,,,,
WAB,Westinghouse Air Brake Technologies Corporation,35.27B,30.030567,24.300354,6.87,51.131,,,,,,,,,,,
WAT,Waters Corporation,22.13B,34.131313,28.746326,10.89,66.042,,,,,,,,,,,
WBD,"Warner Bros. Discovery, Inc.",56.18B,119.31579,-174.38463,0.19,89.857,,,,,,,,,,,
WDAY,"Workday, Inc.",60.12B,105.21962,27.128914,2.14,41.169,,,,,,,,,,,
WDC,Western Digital Corporation,55.71B,22.951408,18.496593,7.1,,,,,,,,,,,,
WEC,"WEC Energy Group, Inc.",36.72B,21.376894,21.622606,5.28,151.448,,,,,,,,,,,
WELL,Welltower Inc.,130.57B,131.2069,104.53297,1.45,46.211,,,,,,,,,,,
WFC,Wells Fargo & Company,270.09B,14.174629,15.672132,6.07,,,,,,,,,,,,
WM,"Waste Management, Inc.",81.35B,31.84858,25.021067,6.34,245.399,,,,,,,,,,,
WMB,"The Williams Companies, Inc.",72.76B,30.870468,28.50718,1.93,188.338,,,,,,,,,,,
WMT,Walmart Inc.,817.93B,38.713203,37.71691,2.65,68.719,,,,,,,,,,,
WRB,W. R. Berkley Corporation,28.49B,15.749999,17.234484,4.76,31.481,,,,,,,,,,,
WSM,"Williams-Sonoma, Inc.",23.99B,21.932072,24.225092,8.98,64.858,,,,,,,,,,,
WST,"West Pharmaceutical Services, Inc.",19.50B,40.154076,36.042553,6.75,9.93,,,,,,,,,,,
WTW,Willis Towers Watson Public Limited Company,31.22B,15.600478,18.02377,20.9,75.685,,,,,,,,,,,
WY,Weyerhaeuser Company,16.64B,50.173912,26.83721,0.46,58.233,,,,,,,,,,,
WYNN,"Wynn Resorts, Limited",13.12B,27.90708,25.12749,4.52,,,,,,,,,,,,
XEL,Xcel Energy Inc.,47.86B,24.667685,21.125328,3.28,167.891,,,,,,,,,,,
XOM,Exxon Mobil Corporation,494.32B,17.03779,14.894537,6.88,15.672,,,,,,,,,,,
XYL,Xylem Inc.,36.84B,39.09819,31.854736,3.87,18.253,,,,,,,,,,,
XYZ,"Block, Inc.",39.77B,13.169014,18.61792,4.97,36.049,,,,,,,,,,,
YUM,"Yum! Brands, Inc.",41.39B,29.068224,24.526316,5.13,,,,,,,,,,,,
ZBH,"Zimmer Biomet Holdings, Inc.",17.54B,21.960297,10.290697,4.03,64.864,,,,,,,,,,,
ZBRA,Zebra Technologies Corporation,13.15B,26.189709,16.180798,9.91,62.984,,,,,,,,,,,
ZTS,Zoetis Inc.,52.99B,20.242424,18.9653,5.94,135.05,,,,,,,,,,,